1	Em Análise	2026-01-15 19:58:28	2026-01-15 19:58:28
2	Deferido	2026-01-15 19:58:28	2026-01-15 19:58:28
3	Indeferido	2026-01-15 19:58:28	2026-01-15 19:58:28
4	Vistoriado	2026-01-15 19:58:28	2026-01-15 19:58:28
5	Em Execução	2026-01-15 19:58:28	2026-01-15 19:58:28
6	Sem Pendências	2026-01-15 19:58:28	2026-01-15 19:58:28
7	Concluído	2026-01-15 19:58:28	2026-01-15 19:58:28
